survived,pclass,sex,age,sibsp,parch,fare,alone,has_cabin,family_size,is_alone,fare_per_person,age_group,fare_bin,sex_encoded,embarked_C,embarked_Q,embarked_S,title_man,title_woman
0,3,male,-0.5348911628688886,1,0,-0.5641087873940193,False,0,0.059159876663617626,0,-0.5476058507246607,2,0,0,False,False,True,True,False
1,1,female,0.6683917564561223,1,0,0.9425480546638041,False,1,0.059159876663617626,0,0.5808979535718629,2,3,1,True,False,False,False,True
1,3,female,-0.23407043303763592,0,0,-0.548226529750121,True,0,-0.5609748304808925,1,-0.39604201258184907,2,1,1,False,False,True,False,True
1,1,female,0.4427762090826827,1,0,0.5147082688618853,False,1,0.059159876663617626,0,0.26044089100184115,2,3,1,False,False,True,False,True
0,3,male,0.4427762090826827,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,male,-0.3092756154954491,0,0,-0.5356783697479123,True,0,-0.5609748304808925,1,-0.3772445719117185,2,1,0,False,True,False,True,False
0,1,male,1.8716746757811333,0,0,0.4855907965147383,True,1,-0.5609748304808925,1,1.1526408103018226,2,3,0,False,False,True,True,False
0,3,male,-2.038994812025152,3,1,-0.23881662157639924,False,0,1.9195639980971482,0,-0.5268098822352982,0,2,0,False,False,True,False,False
1,3,female,-0.15886525057982273,0,2,-0.47273757093690794,False,0,0.6792945838081278,0,-0.5445710492213827,2,1,1,False,False,True,False,True
1,2,female,-1.136532622531394,1,0,-0.027152009260873307,False,0,0.059159876663617626,0,-0.14541886962123324,1,2,1,True,False,False,False,False
1,3,female,-1.8885844471095259,1,1,-0.3417571803794436,False,1,0.6792945838081278,0,-0.47916714086560047,0,2,1,False,False,True,False,False
1,1,female,2.172495405612386,0,0,-0.10999386513144661,True,1,-0.5609748304808925,1,0.26044089100184115,2,2,1,False,False,True,False,True
0,3,male,-0.685301527784515,0,0,-0.5452853709271769,True,0,-0.5609748304808925,1,-0.39163608705444175,2,1,0,False,False,True,True,False
0,3,male,0.7435969389139355,1,5,0.0011819383758412065,False,0,3.1598334123861687,0,-0.5178973243112858,2,3,0,False,False,True,True,False
0,3,female,-1.136532622531394,0,0,-0.5498924021074366,True,0,-0.5609748304808925,1,-0.39853752880057264,1,0,1,False,False,True,False,False
1,2,female,1.9468798582389464,0,0,-0.35822766978793064,True,0,-0.5609748304808925,1,-0.11141922351133643,2,2,1,False,False,True,False,True
0,3,male,-2.038994812025152,4,1,-0.04940599337879768,False,0,2.5396987052416584,0,-0.5042809163718222,0,2,0,False,True,False,False,False
1,2,male,0.06675029679361683,0,0,-0.4288154815385896,True,0,-0.5609748304808925,1,-0.21716143616911202,2,1,0,False,False,True,True,False
0,3,female,0.14195547925143,1,0,-0.3111691286208247,False,0,0.059159876663617626,0,-0.35815105304614614,2,2,1,False,False,True,False,True
1,3,female,-0.5724937540977952,0,0,-0.5646970191586081,True,0,-0.5609748304808925,1,-0.42071519553533004,2,0,1,True,False,False,False,True
0,2,male,0.4427762090826827,0,0,-0.12293496395240078,True,0,-0.5609748304808925,1,0.24105481868124892,2,2,0,False,False,True,True,False
1,2,male,0.36757102662486957,0,0,-0.4288154815385896,True,1,-0.5609748304808925,1,-0.21716143616911202,2,1,0,False,False,True,True,False
1,3,female,-1.061327440073581,0,0,-0.5457747797553149,True,0,-0.5609748304808925,1,-0.39236923306220234,1,1,1,False,True,False,False,False
1,1,male,-0.08366006812200955,0,0,0.10059310659135261,True,1,-0.5609748304808925,1,0.575905158764205,2,3,0,False,False,True,True,False
0,3,female,-1.5877637172782733,3,1,-0.23881662157639924,False,0,1.9195639980971482,0,-0.5268098822352982,0,2,1,False,False,True,False,False
1,3,female,0.6683917564561223,1,5,0.003828981316490934,False,0,3.1598334123861687,0,-0.5173308481720477,2,3,1,False,False,True,False,True
